nameFirst,nameMiddle,nameLast,nameInitials,sex,language,phoneNumber,email,loginName,currency_code,salaryAmount,accountNumber,bankId,bankName
Sally,,Spring,,F,E,+1 224 374 524,sally.spring@itelo.info,SPRINGS,USD,55549,111222333,510000655,My Bank of Antioch
Susan,,Summer,,F,E,,susan.summer@itelo.info,SUMMERS,USD,76239,9988776655,121000358,My Bank of San Francisco
Franco,Richard,Fall,,M,E,,franco.fall@itelo.info,FALLF,USD,85962,8877665544,121000358,My Bank of San Francisco
Walter,,Winter,,M,E,,walter.winter@itelo.info,WINTERW,USD,68597,7766554433,121000358,My Bank of San Francisco
Maria,,Hicks,,F,E,,maria.hicks@itelo.info,HICKSM,USD,49876,1122334455,26005885,My Bank of New York
John,Paul,Dash,,M,E,,john.dash@itelo.info,DASHJ,USD,72691,5544332211,121000358,My Bank of San Francisco
Viola,Sarah,Gains,,F,E,+1 224 374 522,viola.gains@itelo.info,GAINSV,USD,110962,222333444,510000655,My Bank of Antioch
Randy,,Gordon,,M,E,,randy.gordon@itelo.info,GORDONR,USD,81463,2233445566,26005885,My Bank of New York
Paul,,Burke,,M,E,+1 224 374 523,paul.burke@itelo.info,BURKEP,USD,100491,333444555,510000655,My Bank of Antioch
Michael,,Miller,,M,E,,michael.miller@itelo.info,MILLERM,USD,86574,76543210,66665555,My Bank of London
John,,Nicols,,M,E,,john.nicols@itelo.info,NICOLSJ,USD,61579,87654321,66665555,My Bank of London
John,,Smith,,M,E,,john.smith@itelo.info,SMITHJO,USD,60350,98765432,66665555,My Bank of London
Joanne,,Rush,,F,E,,joanne.rush@itelo.info,RUSHJ,USD,70000,345678901,99999888,Deutsches Geldinstitut
Sue,,Bay,,F,E,+1 224 374 525,sue.bay@itelo.info,BAYSU,USD,98631,99887766,121000358,My Bank of San Francisco
James,Clark,Field,,M,E,+1 224 374 526,james.field@itelo.info,FIELDJ,USD,76395,32109876,66665555,My Bank of London
Hermann,,Hecker,,M,E,,hermann.hecker@itelo.info,HECKERH,USD,39874,123456789,99999888,Deutsches Geldinstitut
Rudolf,,Platte,,M,E,,rudolf.platte@itelo.info,PLATTER,USD,45983,234567890,99999888,Deutsches Geldinstitut
Al,,Wallace,,M,E,,al.wallace@itelo.info,WALLACEA,USD,55426,1100998877,121000358,My Bank of San Francisco
Jonathan,,East,,M,E,,jonathan.east@itelo.info,EASTJ,USD,55427,6655443322,121000358,My Bank of San Francisco
James,,Smith,,M,E,,james.smith@itelo.info,SMITHJ,USD,38761,456789012,99999888,Deutsches Geldinstitut
Megan,,Wang,,F,E,,megan.wang@itelo.info,WANGM,USD,57985,54321098,66665555,My Bank of London
Anna,Marie,Lerch,,F,E,,anna.lerch@itelo.info,LERCHA,USD,58768,5566778899,26005885,My Bank of New York
Clark,,Kent,,M,E,,clark.kent@itelo.info,KENTC,USD,57000,3344556677,26005885,My Bank of New York
Catherine,,Jones,,F,E,,catherine.jones@itelo.info,JONESC,USD,59000,4455667788,26005885,My Bank of New York
Peter,,Douglas,,M,E,,peter.douglas@itelo.info,DOUGLASP,USD,1500000,666777888,510000655,My Bank of Antioch
Frank,James,Brown,,M,E,,frank.brown@itelo.info,BROWNF,USD,53021,6677889900,26005885,My Bank of New York
Barbara,,Ingalls,,F,E,,barbara.ingalls@itelo.info,INGALLSB,USD,63443,4433221100,121000358,My Bank of San Francisco
Peter,Thomas,Fuchs,,M,E,,peter.fuchs@itelo.info,FUCHSP,USD,71344,65432109,66665555,My Bank of London
Mary,,Watson,,F,E,,mary.watson@itelo.info,WATSONM,USD,64222,43210987,66665555,My Bank of London
Karl,,Kessler,,M,E,,karl.kessler@itelo.info,KESSLERK,USD,97455,7788990011,26005885,My Bank of New York
Nora,,Dwyer,,F,E,,nora.dwyer@itelo.info,DWYERN,USD,50000,0013M02606,10100,tablissement financier de Paris
Drew,,Smith,,M,E,,smith.Drew@itelo.info,SMITHD,EUR,67234,567890123,99999888,Deutsches Geldinstitut
Richard,Andrew,Fisher,,M,E,,fisher.richard@itelo.info,FISHERRI,EUR,67234,567890123,99999888,Deutsches Geldinstitut
